1-) Which gender do you identify as?,2-) What is your age?,3-) What is your academic class standing?,4-) In what Faculty are you registered? Select all that apply.,5-) What is your Major in METU?,6-) What is your student residency?, 7-) Which year did you first start studying at METU?,8-) Which city did you live in before coming to METU?, 9-) How likely do you think your high school advisor had effect on your preference of METU?,10-) How satisfied are you with the facilities? >> Classrooms capacity ,10-) How satisfied are you with the facilities? >> Physical conditions of the classrooms,10-) How satisfied are you with the facilities? >> Lecture materials ,10-) How satisfied are you with the facilities? >> Equipment of the department's computer lab, 11-) How satisfied are you with the program schedules? >> Course schedule, 11-) How satisfied are you with the program schedules? >> Major’s courses’ attendance policy, 11-) How satisfied are you with the program schedules? >> Breaks between courses,12-) How would you rate the content of the department courses?,13-) How would you rate the way you were assessed was a fair test of your skills?,14-) How would you rate the academic staff of the department is sufficient in terms of education and training?,15-) How would you rate the instructors' knowledge of the principles learning?,16-) Do you think that your training make you ready for the world of work?,17-) Do you think that you will feel competent for the job after graduating from this department?,18-) How likely are you to continue attending this department next year?,19-) How likely are you to recommend this department to others?,20-) How would you rate your over all satisfaction with your Major?,21-) How well do you become friends with other people?,22-) How well do you stay friends with other people? ,23-) How well would you make friends in a group where everyone else knows each other?,24-) How well do you help someone you have recently met become a part of the group to which you belong?,25-) How well do you start a conversation with a person you do not know very well?,26-) How well do you express your opinion to people who are talking about something of interest to you?,27-) How well do you keep your side of your opinion even though your friends disagree with you?,28-) How well would you share with a group of people an interesting experience you once had?,29-) How well would you tell other people that they are doing something that makes you uncomfortable?,30-) How well do you work in harmony with other people? ,31-) How well do you ask someone for help when you need it?,32-) Do you go to parties where you don’t know anyone?,33-) Do you volunteer to lead a group or organization?,34-)Would you join a lunch or dinner table where people are already sitting and talking?,34.a-) How well would you participate in the conversation?,35-) Would you feel nervous or stressed before talking publicly?,35.a-) How well would you control those feelings?,36-) Have you ever been a member of any community?,36.a-) How well did you participate in group activities?,37-) What is your current CGPA?,38-) What percentage of the classes have you attended so far?,39-) What percentage of the recitations have you attended so far?,40-) How important do you think the tasks assigned to you by your professor are?,41-) Have you ever participated in any research at METU?,42-) Have you ever participated in a scientific study organized by an institution or organization?,43-) Do you have a scientific article published in an academic journal?,44-) Have you received certified training that will contribute to your education outside of your university?,45-) How many course(s) have you failed?,46-) How would you rate your interaction with your professors IN the classroom?,47-) How would you rate your interaction with your professors OUT classroom?,48-) How well do you schedule your time?,49-) How do you evaluate your preparation for each lecture by reviewing your notes?,50-) How would you evaluate your preparation for exams?,51-) What do you think about extracurricular (non academic) activities on Campus,52-) Please choose the extracurricular(non-academic) activity that satisfies you the most.,53-) How would you evaluate the below statements in terms of student life?  >> Get training/skill in a special field,53-) How would you evaluate the below statements in terms of student life?  >> Satisfy self needs,53-) How would you evaluate the below statements in terms of student life?  >> Gain knowledge about the world  ,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Campus Location,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Facilities in the Campus,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Safety in Campus,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> On-campus expenses,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Course variability,55-) How much do you feel you belong to METU?, 56-) Please rate your overall satisfaction with the university on a scale of 1 to 5. ,57-) What do you think would have the most impact on the Students’ college life satisfaction?
Female,19,First-year,Arts and Sciences,Mathematics,In campus,2020,Aydın,1,Very Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,5,3,5,4,Yes,Yes,4,2,4,2,4,4,5,2,2,4,2,4,3,3,No,No,NO,,YES,3,YES,4,0,26-50%,76-100%,4,No,No,No,No,0,2,1,4,4,4,1. They are too few,Spring Fest,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,4,4,Academic Performance
Female,25,Senior,Engineering,Aerospace Engineering,In campus,2019,Ankara,1,Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,3,3,2,4,Unsure,Unsure,3,2,2,1,1,1,1,2,2,1,1,2,4,3,No,No,NO,,NO,,NO,,2.45,26-50%,0-25%,1,No,No,No,No,4+,3,3,2,2,1,1. They are too few,Students Community Events,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,2,1,Social Self Efficacy
Female,21,Junior,Arts and Sciences,Chemistry,In campus,2019,Eskişehir,4,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,4,3,4,4,Yes,Yes,5,4,4,4,5,3,5,3,5,5,4,2,4,2,Yes,No,YES,4,YES,4,YES,4,3.16,51-75%,76-100%,4,No,No,No,Yes,0,5,4,4,4,4,2. They are just right,Spring Fest,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,4,4,Social Self Efficacy
Female,22,Junior,Economic and Administrative Sciences,Economics,In campus,2019,İzmir,4,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,4,4,4,4,Yes,Yes,5,5,4,5,4,4,4,5,5,5,5,3,4,4,Yes,Yes,YES,4,NO,,YES,5,3.41,76-100%,51-75%,5,No,Yes,No,Yes,1,4,4,4,5,5,2. They are just right,Students Community Events,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,4,4,Academic Performance
Female,22,Senior,Engineering,Environmental Engineering,In campus,2018,İstanbul,2,Neutral,Dissatisfied,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,3,4,4,3,Unsure,Unsure,4,4,3,4,5,3,4,3,4,4,5,4,2,2,Yes,No,NO,,YES,3,YES,4,3.04,51-75%,51-75%,4,No,No,No,Yes,1,4,4,3,3,4,2. They are just right,KKM events,Satisfied,Neutral,Very Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,3,3,Major Satisfaction
Male,21,Junior,Education,"Early Childhood Education	",In campus,2019,Antalya,4,Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Very Satisfied,Very Satisfied,5,4,5,5,Yes,Yes,5,5,4,5,5,4,5,5,5,3,4,5,5,5,No,No,YES,4,NO,,NO,,3.28,76-100%,76-100%,4,No,No,No,No,0,5,5,4,4,5,2. They are just right,KKM events,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,5,5,Major Satisfaction
Male,21,Junior,Engineering,Civil Engineering,"Off campus (with family, friends or by your own)",2019,Ankara,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,5,5,5,5,Unsure,Unsure,5,5,5,4,4,4,4,4,4,4,4,4,4,4,Yes,Yes,YES,4,YES,4,YES,4,2.7,51-75%,51-75%,3,No,No,No,No,1,3,3,3,2,3,1. They are too few,Spring Fest,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,5,5,Social Self Efficacy
Male,22,Senior,Architecture,Architecture,In campus,2019,Muğla,5,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,5,4,4,4,Yes,Yes,4,5,4,4,4,4,5,4,5,4,4,3,5,4,No,No,NO,,NO,,NO,,3.3,76-100%,76-100%,5,No,No,No,Yes,0,5,3,4,3,5,2. They are just right,Students Community Events,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Dissatisfied,Dissatisfied,5,4,Academic Performance
Female,26,Master,Engineering,Electrical and Electronics Engineering,"Off campus (with family, friends or by your own)",2021,Trabzon,5,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,5,5,5,5,Yes,Yes,5,5,5,2,5,4,3,3,4,3,4,2,5,5,No,No,YES,4,YES,4,NO,,0,76-100%,76-100%,5,Yes,Yes,Yes,Yes,0,5,5,5,5,5,2. They are just right,KKM events,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,5,5,Academic Performance
Male,21,Junior,Engineering,Petroleum and Natural Gas Engineering,"Off campus (with family, friends or by your own)",2019,İstanbul,5,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,1,3,3,3,No,No,3,4,2,3,3,2,2,2,5,1,4,2,2,1,Yes,Yes,NO,,NO,,NO,,1.96,0-25%,0-25%,3,No,No,No,No,4+,1,1,1,1,1,1. They are too few,Spring Fest,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Neutral,2,2,Social Self Efficacy
Female,20,Sophomore,Engineering,Computer Engineering,In campus,2020,İzmir,4,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,4,3,3,3,Yes,Yes,5,5,4,4,3,2,4,5,4,1,4,2,4,4,No,No,YES,4,NO,,YES,4,2.88,76-100%,76-100%,3,No,No,No,Yes,0,4,3,4,2,4,2. They are just right,KKM events,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,4,4,Major Satisfaction
Female,22,Junior,Arts and Sciences,Statistics,"Off campus (with family, friends or by your own)",2018,Mersin,1,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,4,3,2,4,No,No,5,3,3,4,4,4,3,2,4,5,4,4,4,3,No,No,YES,3,YES,2,YES,3,3,0-25%,51-75%,3,No,No,No,Yes,1,3,4,1,2,2,2. They are just right,Spring Fest,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,4,3,Social Self Efficacy
Female,22,Junior,Education,English Language Teaching,In campus,2019,İstanbul ,1,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Neutral,4,4,3,3,No,Yes,4,4,4,1,1,1,1,4,4,5,3,5,1,2,No,No,YES,4,YES,2,YES,3,3.83,76-100%,0-25%,4,No,No,No,No,0,4,3,1,2,2,2. They are just right,Students Community Events,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,3,2,Social Self Efficacy
Female,20,Sophomore,Engineering,Environmental Engineering,"Off campus (with family, friends or by your own)",2020,Ankara,1,Neutral,Very Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,4,3,4,3,Unsure,Yes,3,3,4,4,3,4,4,5,3,3,3,2,4,2,No,No,YES,5,YES,3,YES,4,2.65,76-100%,76-100%,4,No,No,No,No,0,4,4,4,4,4,3.  I was overwhelmed with the number,Students Community Events,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,3,2,Major Satisfaction
Female,20,Sophomore,Engineering,Metallurgical and Materials Engineering,"Off campus (with family, friends or by your own)",2020,Ankara,4,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,4,3,4,3,No,Unsure,5,4,2,5,5,3,4,3,4,4,4,3,5,4,No,No,YES,4,YES,1,NO,,2.45,26-50%,51-75%,3,No,No,No,No,1,2,1,3,3,3,2. They are just right,Spring Fest,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,4,3,Academic Performance
Others,21,Junior,Education,"Early Childhood Education	",In campus,2019,İzmir,3,Satisfied,Satisfied,Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,1,2,2,3,Unsure,Yes,5,1,2,3,4,2,4,3,4,4,3,3,4,3,No,No,NO,,YES,3,YES,2,3.49,76-100%,76-100%,3,Yes,No,No,Yes,0,1,1,4,3,4,1. They are too few,Spring Fest,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,3,3,Social Self Efficacy
Male,19,Sophomore,Engineering,Computer Engineering,In campus,2021,Ankara,2,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,4,1,5,3,Yes,Yes,5,4,4,3,4,3,4,4,5,3,4,2,4,2,No,Yes,YES,1,YES,4,YES,4,3.88,76-100%,76-100%,5,Yes,No,No,Yes,0,2,1,3,2,4,1. They are too few,KKM events,Very Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,4,3,Academic Performance
Female,22,Senior,Arts and Sciences,Biology,In campus,2018,İstanbul,2,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Very Satisfied,Satisfied,4,4,4,4,Yes,Yes,1,5,5,5,5,5,5,4,4,4,4,2,5,4,No,No,YES,4,YES,3,NO,,3,51-75%,0-25%,5,Yes,Yes,Yes,Yes,1,3,4,5,5,5,2. They are just right,Spring Fest,Satisfied,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,5,4,Social Self Efficacy
